Metadata,,,,,,,,
№,Автор,Файл_№,Файл (путь от рабочей папки),Начало (сек),Конец (сек),Текст,Code,Носитель
242,Сатина Мария,mns_41750756-d0b8-4e44-b90b-0d6770b8df9a_031,Сатина Мария/mns_41750756-d0b8-4e44-b90b-0d6770b8df9a/031_Са_с_хусапыт_урыл_п_.wav,155.340,158.200,Са̄с хусапыт урыл пӯмыщ докладыт о̄лсыт.,41750756-d0b8-4e44-b90b-0d6770b8df9a,ГК
243,Сатина Мария,mns_41750756-d0b8-4e44-b90b-0d6770b8df9a_032,Сатина Мария/mns_41750756-d0b8-4e44-b90b-0d6770b8df9a/032_Татьяна_Молда_нова_х.wav,158.270,163.850,Татьяна Молда­нова хум хо̄тпат масну­та­ныл-о̄щнутаныл палт ва̄рнэ хансат урыл по­тыр­тас.,41750756-d0b8-4e44-b90b-0d6770b8df9a,ГК
244,Сатина Мария,mns_41750756-d0b8-4e44-b90b-0d6770b8df9a_033,Сатина Мария/mns_41750756-d0b8-4e44-b90b-0d6770b8df9a/033_Евгения_Вьюткина_Сар.wav,163.970,167.550,Евгения Вьюткина Саран­па̄вылныл тучаӈ урыл по­тыртас.,41750756-d0b8-4e44-b90b-0d6770b8df9a,ГК
245,Сатина Мария,mns_41750756-d0b8-4e44-b90b-0d6770b8df9a_034,Сатина Мария/mns_41750756-d0b8-4e44-b90b-0d6770b8df9a/034_Ань_тамле_х_рыг_сов_.wav,167.620,171.070,Ань тамле хӯрыг­сов нэ̄т Саранпа̄­вылт ю̄н­туӈкве патсыт. ,41750756-d0b8-4e44-b90b-0d6770b8df9a,ГК
246,Сатина Мария,mns_41750756-d0b8-4e44-b90b-0d6770b8df9a_035,Сатина Мария/mns_41750756-d0b8-4e44-b90b-0d6770b8df9a/035_Матах_та_л_ювле_хуль.wav,171.110,175.760,Матах та̄л ювле хультум порат туп пе̄с порат ю̄н­тыглым тучаӈыт хульт­сасыт.,41750756-d0b8-4e44-b90b-0d6770b8df9a,ГК
247,Сатина Мария,mns_41750756-d0b8-4e44-b90b-0d6770b8df9a_036,Сатина Мария/mns_41750756-d0b8-4e44-b90b-0d6770b8df9a/036_Ань_матъ_мас_ты_тэ_л.wav,175.780,180.610,Ань матъёмас ты тэ̄лан нэ̄квет вуйхат­сыт ос а̄гит ханищтаӈкве пат­сыт. ,41750756-d0b8-4e44-b90b-0d6770b8df9a,ГК
248,Сатина Мария,mns_41750756-d0b8-4e44-b90b-0d6770b8df9a_037,Сатина Мария/mns_41750756-d0b8-4e44-b90b-0d6770b8df9a/037_Нилыт_секцият_ща_нь_.wav,180.710,186.120,"Нилыт секцият ща̄нь ла̄тӈыт, пе̄с йис потрыт, мо̄йтыт, э̄ргыт урыл потраныл о̄лыс. ",41750756-d0b8-4e44-b90b-0d6770b8df9a,ГК
249,Сатина Мария,mns_41750756-d0b8-4e44-b90b-0d6770b8df9a_038,Сатина Мария/mns_41750756-d0b8-4e44-b90b-0d6770b8df9a/038_Ос_атыт_секцияныл_то.wav,186.200,190.530,Ос атыт секцияныл тох намаим о̄лыс: трибуна молодого учёного.,41750756-d0b8-4e44-b90b-0d6770b8df9a,ГК
250,Сатина Мария,mns_41750756-d0b8-4e44-b90b-0d6770b8df9a_039,Сатина Мария/mns_41750756-d0b8-4e44-b90b-0d6770b8df9a/039_Тот_универси_тетыт_а.wav,190.590,195.900,"Тот универси­тетыт, аспирантурат ха­нищтахтын хо̄тпат то̄нти докладаныл ловиньтасыт. ",41750756-d0b8-4e44-b90b-0d6770b8df9a,ГК
251,Сатина Мария,mns_41750756-d0b8-4e44-b90b-0d6770b8df9a_040,Сатина Мария/mns_41750756-d0b8-4e44-b90b-0d6770b8df9a/040_Тот_Севастополь_Санк.wav,196.160,199.840,"Тот Севастополь, Санкт-Петербург, Ростов-на-Дону, Ижевск.",41750756-d0b8-4e44-b90b-0d6770b8df9a,ГК
252,Сатина Мария,mns_41750756-d0b8-4e44-b90b-0d6770b8df9a_041,Сатина Мария/mns_41750756-d0b8-4e44-b90b-0d6770b8df9a/041_Ос_мо_т_сыт_ныл_ищх_.wav,199.940,204.270,Ос мо̄т ӯсыт­ныл ищхӣпыӈ ут хо­сыт ма̄хум потраныл ловинь­тасаныл.,41750756-d0b8-4e44-b90b-0d6770b8df9a,ГК
253,Сатина Мария,mns_41750756-d0b8-4e44-b90b-0d6770b8df9a_042,Сатина Мария/mns_41750756-d0b8-4e44-b90b-0d6770b8df9a/042_Тамле_ты_мас_ос_п_мы.wav,204.390,207.600,Тамле ты ёмас ос пӯ­мыщ конференция ва̄­рыглавес.,41750756-d0b8-4e44-b90b-0d6770b8df9a,ГК
254,Сатина Мария,mns_41750756-d0b8-4e44-b90b-0d6770b8df9a_043,Сатина Мария/mns_41750756-d0b8-4e44-b90b-0d6770b8df9a/043_.wav,207.690,212.390,,41750756-d0b8-4e44-b90b-0d6770b8df9a,ГК
255,Сатина Мария,mns_5023843d-262d-4eba-a179-86abf1657656_001,Сатина Мария/mns_5023843d-262d-4eba-a179-86abf1657656/001_Оманув_ла_т_ыт_ханищ.wav,0.000,2.110,Оманув ла̄тӈыт ханищтавет.,5023843d-262d-4eba-a179-86abf1657656,ВУ
256,Сатина Мария,mns_5023843d-262d-4eba-a179-86abf1657656_002,Сатина Мария/mns_5023843d-262d-4eba-a179-86abf1657656/002_Ха_ль_с_районт_Я_сун.wav,2.170,7.580,Ха̄льӯс районт Я̄сунт па̄вылт ма̄нь ӯскве нампа ня̄врамыт ӯщлахтын ма̄.,5023843d-262d-4eba-a179-86abf1657656,ВУ
257,Сатина Мария,mns_5023843d-262d-4eba-a179-86abf1657656_003,Сатина Мария/mns_5023843d-262d-4eba-a179-86abf1657656/003_Со_тыра_онтолов_са_т.wav,7.710,12.490,Со̄тыра онтолов са̄т яныг са̄т нупыл нилыт та̄л па̄сныл рӯпиты.,5023843d-262d-4eba-a179-86abf1657656,ВУ
258,Сатина Мария,mns_5023843d-262d-4eba-a179-86abf1657656_004,Сатина Мария/mns_5023843d-262d-4eba-a179-86abf1657656/004_Ка_сы_туи_са_в_ня_вр.wav,12.490,17.190,Ка̄сыӈ туи са̄в ня̄врам ӯщлахтуӈкв ос о̄луӈкв тув ёхталы.,5023843d-262d-4eba-a179-86abf1657656,ВУ
259,Сатина Мария,mns_5023843d-262d-4eba-a179-86abf1657656_005,Сатина Мария/mns_5023843d-262d-4eba-a179-86abf1657656/005_Та_нанылн_тот_п_мыщ_.wav,17.300,23.370,"Та̄нанылн тот пӯмыщ вос о̄лыс, тот рӯпитан хо̄тпат матыр-а̄ти йильпи тэ̄ла акваг та номылматэ̄гыт.",5023843d-262d-4eba-a179-86abf1657656,ВУ
260,Сатина Мария,mns_5023843d-262d-4eba-a179-86abf1657656_006,Сатина Мария/mns_5023843d-262d-4eba-a179-86abf1657656/006_Акваг_та_ва_ре_гыт_Е.wav,23.410,27.960,Акваг та ва̄ре̄гыт. Елена Фризоргер ма̄нь та̄гыл тув ялантас.,5023843d-262d-4eba-a179-86abf1657656,ВУ
261,Сатина Мария,mns_5023843d-262d-4eba-a179-86abf1657656_007,Сатина Мария/mns_5023843d-262d-4eba-a179-86abf1657656/007_Тот_яныгмас_Тав_ань_.wav,27.980,31.580,Тот яныгмас. Тав ань такви туи порат тот рӯпиты.,5023843d-262d-4eba-a179-86abf1657656,ВУ
262,Сатина Мария,mns_5023843d-262d-4eba-a179-86abf1657656_008,Сатина Мария/mns_5023843d-262d-4eba-a179-86abf1657656/008_У_щлахтын_ня_врамакв.wav,31.660,36.050,Ӯщлахтын ня̄врамаквет ма̄ньщи ла̄тӈыл потыр­таӈкв ханищтыянэ. ,5023843d-262d-4eba-a179-86abf1657656,ВУ
263,Сатина Мария,mns_5023843d-262d-4eba-a179-86abf1657656_009,Сатина Мария/mns_5023843d-262d-4eba-a179-86abf1657656/009_Туи_порат_Я_сунтыт_о.wav,36.280,42.240,Туи порат Я̄сунтыт о̄лнэ̄ныл сыс та̄н ня̄вра­мыт ма̄гыс хӯрум смена ва̄рыглэ̄гыт.,5023843d-262d-4eba-a179-86abf1657656,ВУ
264,Сатина Мария,mns_5023843d-262d-4eba-a179-86abf1657656_010,Сатина Мария/mns_5023843d-262d-4eba-a179-86abf1657656/010_Са_всыр_щирыл_ханищт.wav,42.340,46.880,Са̄всыр щирыл ханищтыяныл – пе̄с ва̄р­малит урыл потыртэ̄гыт.,5023843d-262d-4eba-a179-86abf1657656,ВУ
265,Сатина Мария,mns_5023843d-262d-4eba-a179-86abf1657656_011,Сатина Мария/mns_5023843d-262d-4eba-a179-86abf1657656/011_Ма_щтырлан_тэ_лат_су.wav,46.960,50.980,"Ма̄щтырлан тэ̄лат сус­сылтэ̄гыт, ма̄ньщи ла̄тыӈ ханищтэ̄гыт.",5023843d-262d-4eba-a179-86abf1657656,ВУ
266,Сатина Мария,mns_5023843d-262d-4eba-a179-86abf1657656_012,Сатина Мария/mns_5023843d-262d-4eba-a179-86abf1657656/012_Та_юи_па_лт_а_гит_пы.wav,51.060,54.850,Та юи-па̄лт а̄гит-пыгыт кон ёнгим ха̄йтыгтэ̄гыт.,5023843d-262d-4eba-a179-86abf1657656,ВУ
267,Сатина Мария,mns_5023843d-262d-4eba-a179-86abf1657656_013,Сатина Мария/mns_5023843d-262d-4eba-a179-86abf1657656/013_Э_типа_лаг_пуссын_ак.wav,55.000,61.240,"Э̄типа̄лаг пуссын аквъёт ё̄рнколт акван-атхатыглэ̄гыт, э̄рге̄гыт, тӯлыглахтэ̄гыт. ",5023843d-262d-4eba-a179-86abf1657656,ВУ
268,Сатина Мария,mns_5023843d-262d-4eba-a179-86abf1657656_014,Сатина Мария/mns_5023843d-262d-4eba-a179-86abf1657656/014_Ня_врамыт_ма_ньщи_ла.wav,61.350,67.420,"Ня̄врамыт ма̄ньщи ла̄тыӈ вос ханищтэ̄гыт, мо̄лты та̄л Елена Фри­зор­гер нэ̄пак щё̄питас.",5023843d-262d-4eba-a179-86abf1657656,ВУ
269,Сатина Мария,mns_5023843d-262d-4eba-a179-86abf1657656_015,Сатина Мария/mns_5023843d-262d-4eba-a179-86abf1657656/015_Ос_округ_кущай_нэ_па.wav,67.610,72.000,Ос  округ кущай нэ̄ па̄лыл олн-нё̄тмилыл майвес.,5023843d-262d-4eba-a179-86abf1657656,ВУ
270,Сатина Мария,mns_5023843d-262d-4eba-a179-86abf1657656_016,Сатина Мария/mns_5023843d-262d-4eba-a179-86abf1657656/016_Ма_к_яныг_тэ_ланыл_т.wav,72.340,77.430,Ма̄к яныг тэ̄ланыл ты – ня̄врамыт ма̄ньщи ла̄тӈыл потыртаӈкв вос патнувыт.,5023843d-262d-4eba-a179-86abf1657656,ВУ
271,Сатина Мария,mns_5023843d-262d-4eba-a179-86abf1657656_017,Сатина Мария/mns_5023843d-262d-4eba-a179-86abf1657656/017_Таима_гыс_ты_тамле_м.wav,77.500,83.140,Таима̄гыс ты тамле ёмас ос ты йист сака э̄рнэ тэ̄ла ва̄руӈкв о̄вылтахтас. ,5023843d-262d-4eba-a179-86abf1657656,ВУ
272,Сатина Мария,mns_5023843d-262d-4eba-a179-86abf1657656_018,Сатина Мария/mns_5023843d-262d-4eba-a179-86abf1657656/018_Нэ_ты_ханищтапе_тох_.wav,83.340,89.190,Нэ̄ ты ханищтапе тох ва̄рыстэ – ма̄ньщи ла̄тӈанув нэ̄пак-ло̄мтыт хансым о̄лэ̄гыт.,5023843d-262d-4eba-a179-86abf1657656,ВУ
273,Сатина Мария,mns_5023843d-262d-4eba-a179-86abf1657656_019,Сатина Мария/mns_5023843d-262d-4eba-a179-86abf1657656/019_Мо_т_акв_тамле_нэ_па.wav,89.320,93.500,"Мо̄т акв тамле нэ̄пакытт во̄руит, ӯйхулыт, пормасыт.",5023843d-262d-4eba-a179-86abf1657656,ВУ
274,Сатина Мария,mns_5023843d-262d-4eba-a179-86abf1657656_020,Сатина Мария/mns_5023843d-262d-4eba-a179-86abf1657656/020_Й_выт_пумыт_ос_йрищи.wav,93.700,98.120,"Йӣвыт, пумыт ос ӯйрищит ху­рия­ныл по̄слым о̄лэ̄гыт.",5023843d-262d-4eba-a179-86abf1657656,ВУ
275,Сатина Мария,mns_5023843d-262d-4eba-a179-86abf1657656_021,Сатина Мария/mns_5023843d-262d-4eba-a179-86abf1657656/021_Ня_врамакве_хури_ка_.wav,98.260,103.880,"Ня̄врамакве хури ка̄тын-выгтэ, таве̄н тув ро̄внэ ма̄ньщи ла̄тыӈ хо̄нтуӈкв э̄ри.",5023843d-262d-4eba-a179-86abf1657656,ВУ
276,Сатина Мария,mns_5023843d-262d-4eba-a179-86abf1657656_022,Сатина Мария/mns_5023843d-262d-4eba-a179-86abf1657656/022_Тох_ня_врамыт_т_р_пи.wav,104.030,109.450,"Тох ня̄врамыт ёт рӯпитым, а̄гирищит ос пыгрищит са̄в ма̄ньщи ла̄тыӈ ва̄ӈкв тах патэ̄гыт. ",5023843d-262d-4eba-a179-86abf1657656,ВУ
277,Сатина Мария,mns_5023843d-262d-4eba-a179-86abf1657656_023,Сатина Мария/mns_5023843d-262d-4eba-a179-86abf1657656/023_Ты_нэ_пак_ло_мтыт_т_.wav,109.460,113.300,Ты нэ̄пак-ло̄мтыт ёт са̄в­сыр щирыл рӯпитаӈкве ро̄ви. ,5023843d-262d-4eba-a179-86abf1657656,ВУ
278,Сатина Мария,mns_5023843d-262d-4eba-a179-86abf1657656_024,Сатина Мария/mns_5023843d-262d-4eba-a179-86abf1657656/024_Та_н_пуссын_й_в_то_т.wav,113.540,118.950,"Та̄н пуссын йӣв то̄­тапсов тӣврын пиным о̄лэ̄гыт, акван ат тэ̄лыг­тахтэ̄гыт. ",5023843d-262d-4eba-a179-86abf1657656,ВУ
279,Сатина Мария,mns_5023843d-262d-4eba-a179-86abf1657656_025,Сатина Мария/mns_5023843d-262d-4eba-a179-86abf1657656/025_Елена_Владимировна_р.wav,119.010,122.190,Елена Владимировна рӯпататэ урыл тох ла̄выс.,5023843d-262d-4eba-a179-86abf1657656,ВУ
280,Сатина Мария,mns_5023843d-262d-4eba-a179-86abf1657656_026,Сатина Мария/mns_5023843d-262d-4eba-a179-86abf1657656/026_Ма_н_ты_йист_о_лнэ_м.wav,122.280,126.820,"Ма̄н, ты йист о̄лнэ ма̄хум, ма̄нти ща̄нь ла̄т­ӈув ат ва̄глӯв. ",5023843d-262d-4eba-a179-86abf1657656,ВУ
281,Сатина Мария,mns_5023843d-262d-4eba-a179-86abf1657656_027,Сатина Мария/mns_5023843d-262d-4eba-a179-86abf1657656/027_Ос_ань_яныг_ман_ня_в.wav,126.870,130.890,Ос ань яныг­ман ня̄врамыт ты ва̄рмалитыл сака пӯмща­лахтуӈкв патсыт.,5023843d-262d-4eba-a179-86abf1657656,ВУ
282,Сатина Мария,mns_5023843d-262d-4eba-a179-86abf1657656_028,Сатина Мария/mns_5023843d-262d-4eba-a179-86abf1657656/028_Ма_нь_ня_врам_мо_т_л.wav,131.010,134.620,Ма̄нь ня̄врам мо̄т ла̄тӈыл мо­лях­нув потыртаӈкв паты.,5023843d-262d-4eba-a179-86abf1657656,ВУ
283,Сатина Мария,mns_5023843d-262d-4eba-a179-86abf1657656_029,Сатина Мария/mns_5023843d-262d-4eba-a179-86abf1657656/029_Таима_гыс_ты_ма_н_ма.wav,134.680,139.310,Таима̄гыс ты ма̄н ма̄нь ӯсквет са̄всыр ханищ­тапыт ва̄руӈкв патсӯв.  ,5023843d-262d-4eba-a179-86abf1657656,ВУ
284,Сатина Мария,mns_5023843d-262d-4eba-a179-86abf1657656_030,Сатина Мария/mns_5023843d-262d-4eba-a179-86abf1657656/030_Туи_Я_сунтын_ла_ты_в.wav,139.330,143.330,Туи Я̄сунтын ла̄тыӈ ва̄нэ хо̄тпа са̄в ёхталы.,5023843d-262d-4eba-a179-86abf1657656,ВУ
285,Сатина Мария,mns_5023843d-262d-4eba-a179-86abf1657656_031,Сатина Мария/mns_5023843d-262d-4eba-a179-86abf1657656/031_Ты_н_гил_хурип_ханищ.wav,143.370,147.570,Ты ён­гил хурип ханищтап а̄нумн ва̄руӈкве та̄н ты нё̄т­сыт. ,5023843d-262d-4eba-a179-86abf1657656,ВУ
286,Сатина Мария,mns_5023843d-262d-4eba-a179-86abf1657656_032,Сатина Мария/mns_5023843d-262d-4eba-a179-86abf1657656/032_Ня_врам_ма_ньщи_ла_т.wav,147.640,151.730,"Ня̄врам ма̄ньщи ла̄тӈыл мощ потыртаӈкв те паты, ты сака ёмас. ",5023843d-262d-4eba-a179-86abf1657656,ВУ
287,Сатина Мария,mns_5023843d-262d-4eba-a179-86abf1657656_033,Сатина Мария/mns_5023843d-262d-4eba-a179-86abf1657656/033_Таве_н_хурит_по_слын.wav,151.920,156.590,Таве̄н хурит по̄слын нэ̄ Нина Дмитриевна Хатанзеева акваг нё̄ты.,5023843d-262d-4eba-a179-86abf1657656,ВУ
288,Сатина Мария,mns_5023843d-262d-4eba-a179-86abf1657656_034,Сатина Мария/mns_5023843d-262d-4eba-a179-86abf1657656/034_Ань_ты_карточка_нэ_п.wav,156.590,159.990,Ань ты карточка-нэ̄пакыт пуссын тав ты по̄слысанэ.,5023843d-262d-4eba-a179-86abf1657656,ВУ
289,Сатина Мария,mns_5023843d-262d-4eba-a179-86abf1657656_035,Сатина Мария/mns_5023843d-262d-4eba-a179-86abf1657656/035_Ка_сы_нэ_пак_ло_мт_т.wav,160.010,163.170,Ка̄сыӈ нэ̄пак-ло̄мт татем нё̄тнэ̄г ва̄рима.,5023843d-262d-4eba-a179-86abf1657656,ВУ
290,Сатина Мария,mns_5023843d-262d-4eba-a179-86abf1657656_036,Сатина Мария/mns_5023843d-262d-4eba-a179-86abf1657656/036_Тот_пил_те_по_слувес.wav,163.200,166.870,"Тот пил те по̄слувес, та̄ра на̄ӈки – манырсыр пил. ",5023843d-262d-4eba-a179-86abf1657656,ВУ
291,Сатина Мария,mns_5023843d-262d-4eba-a179-86abf1657656_037,Сатина Мария/mns_5023843d-262d-4eba-a179-86abf1657656/037__йрищит_ва_сыт_во_ру.wav,167.010,171.360,"Ӯйрищит, ва̄сыт, во̄руит пуссын ма̄к ёмащакв по̄слымат.",5023843d-262d-4eba-a179-86abf1657656,ВУ
292,Сатина Мария,mns_5023843d-262d-4eba-a179-86abf1657656_038,Сатина Мария/mns_5023843d-262d-4eba-a179-86abf1657656/038_Ты_та_л_о_вылтахтам_.wav,171.440,177.460,Ты та̄л о̄вылтахтам по­рат Сургут ӯст ты нэ̄пак-ло̄мтыт са̄выг ва̄рве̄сыт.,5023843d-262d-4eba-a179-86abf1657656,ВУ
293,Сатина Мария,mns_5023843d-262d-4eba-a179-86abf1657656_039,Сатина Мария/mns_5023843d-262d-4eba-a179-86abf1657656/039_И_п_то_тапсовн_пинве.wav,177.610,182.910,Иӣп то̄тапсовн пинве̄сыт. Ань Ло̄пмус ос Кимкъя­суй па̄влыгт о̄лнэ ня̄в­рамыт.,5023843d-262d-4eba-a179-86abf1657656,ВУ
